ArpCode,lat,lon
AXC,23.08333333,145.25
AXD,40.85,25.95
AXG,43.06666667,94.23333333
AXK,14.53333333,46.81666667
AXL,19.11666667,136.7666667
AXM,4.45,75.76666667
AXN,45.78333333,95.26666667
AXP,22.45,73.96666667
AXR,15.35,146.6666667
AXS,34.70277778,99.33333333
AXT,39.61666667,140.2166667
AXU,14.12083333,38.7125
AXV,40.56666667,84.18333333
AXX,36.41666667,105.2833333
AYA,8.3,75.15
AYC,8.6,73.61666667
AYD,19.3,135.95
AYE,42.53333333,71.61666667
AYG,2.666666667,75.51666667
AYH,52.36666667,0.266666667
AYI,0.383333333,72.26666667
AYK,50.31666667,66.96666667
AYL,18.01666667,135.55
AYN,36.1,114.35
AYO,27.36666667,56.85
AYP,13.15,74.2
AYQ,25.18333333,130.9666667
AYR,19.66666667,147.3666667
AYS,31.25,82.4
AYT,36.91666667,30.8
AYU,6.333333333,145.9
AYW,1.2,132.5
AYZ,40.66666667,73.41666667
AZB,10.3,149.3333333
AZD,31.9,54.28333333
AZG,19.08333333,102.3833333
AZI,24.41666667,54.45
AZN,40.73333333,72.3
AZO,42.25,85.55
AZP,19.6,99.3
AZR,27.83333333,0.183333333
AZT,6.816666667,73.28333333
AZZ,7.883333333,13.15
BAA,5.316666667,151.0333333
BAB,39.13333333,121.3333333
BAC,4.583333333,72.96666667
BAD,32.76666667,93.81666667
BAE,44.39166667,6.633333333
BAF,42.13333333,72.75
BAG,16.36666667,120.6166667
BAH,26.26666667,50.63333333
BAI,9.166666667,83.33333333
BAJ,4.883333333,149.1333333
BAK,40.48333333,50.06666667
BAL,37.93333333,41.11666667
BAM,40.63333333,116.9333333
BAN,4.166666667,20.33333333
BAO,17.38333333,102.7833333
BAP,10.33333333,149.6333333
BAQ,10.88333333,74.78333333
BAR,19.13916667,110.4541667
BAS,7.983333333,155.9
BAT,20.585,48.59527778
BAU,22.33333333,49.05
BAV,40.66666667,109.9833333
BAW,0.666666667,9.45
BAX,53.36666667,83.75
BAY,47.66666667,23.46666667
BAZ,0.966944444,62.93361111
BBA,45.91666667,71.7
BBB,45.31666667,95.6
BBC,28.98333333,95.96666667
BBD,31.13333333,99.33333333
BBE,27.41666667,117.6666667
BBF,42.5,71.18333333
BBG,3.083333333,172.8166667
BBH,54.33972222,12.71166667
BBI,20.23333333,85.81666667
BBJ,49.95,6.566666667
BBK,17.83333333,25.16666667
BBL,36.65,52.66666667
BBM,13.08333333,103.2166667
BBN,3.683333333,115.4666667
BBO,10.38333333,44.95
BBP,50.68333333,1.083333333
BBQ,17.6,61.78333333
BBR,16.16666667,61.75
BBS,51.33055556,0.844444444
BBT,4.216666667,15.78333333
BBU,44.50277778,26.08611111
BBV,4.666666667,6.95
BBW,41.4,99.63333333
BBX,40.15,75.26666667
BBY,5.85,20.63333333
BBZ,13.53333333,23.11666667
BCA,20.35,74.5
BCB,37.23333333,80.41666667
BCC,57.6175,155.8672222
BCD,10.63333333,122.9333333
BCE,37.7,112.15
BCF,6.5,18.28333333
BCG,7.7,59.16666667
BCH,8.483333333,126.4
BCI,23.56666667,145.3166667
BCJ,37.96666667,105.7666667
BCK,17.4,144.1666667
BCL,10.78333333,83.58333333
BCM,46.6,26.88333333
BCN,41.3,2.083333333
BCO,5.783333333,36.55
BCP,5.85,146.4833333
BCQ,27.68333333,14.25
BCR,8.633333333,67.41666667
BCS,30.05,90.23333333
BCT,26.36666667,80.11666667
BCU,10.31666667,9.833333333
BCV,17.26666667,88.78333333
BCX,53.93333333,58.33333333
BCY,6.216666667,36.66666667
BCZ,13.78333333,137.8
BDA,32.36666667,64.68333333
BDB,24.9,152.3166667
BDC,5.466666667,45.26666667
BDD,10.11666667,142.1333333
BDE,48.71666667,94.6
BDF,41.18333333,89.65
BDG,37.58333333,109.4833333
BDH,26.53333333,54.83333333
BDI,3.716666667,55.21666667
BDJ,3.45,114.75
BDK,8.033333333,2.8
BDL,41.93333333,72.68611111
BDM,40.31666667,27.98333333
BDN,24.65,68.83333333
BDO,6.900833333,107.5772222
BDP,26.56666667,88.08333333
BDQ,22.33333333,73.21666667
BDR,41.16666667,73.13333333
BDS,40.65,17.95
BDT,0.816666667,19.05
BDU,69.05,18.53333333
BDV,7.083333333,29.73333333
BDW,17.3,127.4666667
BDX,45.45,105.4166667
BDY,43.11666667,124.4166667
BDZ,6.333333333,146.95
BEA,8.65,146.4833333
BEB,57.48333333,7.366666667
BEC,37.68333333,97.21666667
BED,42.46666667,71.28333333
BEE,12.98333333,141.6
BEF,12.03333333,83.98333333
BEG,44.81666667,20.31666667
BEH,42.13333333,86.43333333
BEI,9.35,34.51666667
BEJ,2.166666667,117.7
BEK,26.21666667,81.23333333
BEL,1.383333333,48.48333333
BEM,5.266666667,17.65
BEN,32.1,20.26666667
BEO,33.03333333,151.6666667
BEP,15.18333333,76.9
BEQ,52.35,0.766666667
BER,52.46666667,13.4
BES,48.45,4.416666667
BET,60.78611111,161.8333333
BEU,24.33333333,139.3666667
BEV,31.25,34.8
BEW,19.8,34.9
BEX,51.61666667,1.083333333
BEY,33.83333333,35.48333333
BEZ,1.333333333,176
BFB,58.18333333,152.1333333
BFC,15.9,145.3333333
BFD,41.8,78.63333333
BFE,52.01666667,8.516666667
BFF,41.86666667,103.6
BFG,37.55,110.7083333
BFI,47.53333333,122.3
BFJ,27.26666667,105.4716667
BFK,39.71666667,105.0166667
BFL,35.43333333,119.0333333
BFM,30.63333333,88.06666667
BFN,29.1,26.3
BFO,21.01666667,31.58333333
BFP,40.76666667,80.4
BFQ,7.583333333,78.16666667
BFR,38.85,86.48333333
BFS,54.65,6.233333333
BFT,32.41666667,80.63333333
BFU,32.95,117.3333333
BFV,15.22694444,103.2552778
BFX,5.483333333,10.4
BGA,7.133333333,73.18333333
BGB,0.1,11.93333333
BGC,41.85,6.733333333
BGD,35.65,101.4
BGE,30.9,84.6
BGF,4.4,18.51666667
BGG,6.65,4.2
BGH,16.63333333,14.2
BGI,13.06666667,59.48333333
BGJ,64.46666667,21.98333333
BGK,16.51666667,88.41666667
BGL,28.21666667,83.66666667
BGM,42.21666667,75.98333333
